Fuzzy Result
"[0.2, 0.2, np.float64(0.722), 0.2, 0.8, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, np.float64(0.648), 0.2]"
"[0.8, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, 0.8, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2]"
"[0.8, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, 0.2, 0.2, np.float64(0.683), 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2]"
"[0.8, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.8, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.8, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[0.2, 0.2, np.float64(0.722), 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, np.float64(0.416), 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[0.2, 0.2, np.float64(0.722), 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.8, 0.2]"
"[0.2, 0.2, 0.2, 0.2, 0.2, np.float64(0.549), 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, np.float64(0.648), 0.2]"
"[0.2, 0.2, 0.8, 0.2, 0.8, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, np.float64(0.648), 0.2]"
"[0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, 0.2, 0.2, np.float64(0.683), 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[0.8, 0.2, 0.8, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, np.float64(0.496), 0.2, 0.2]"
"[0.2, 0.2, np.float64(0.416), 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, np.float64(0.648), 0.2]"
"[0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[0.8, 0.2, 0.2, 0.2, np.float64(0.683), 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2]"
"[0.2, 0.2, np.float64(0.722), 0.2, 0.8, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.8, 0.2]"
"[0.8, 0.2, 0.8, 0.2, np.float64(0.683), 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, np.float64(0.496), np.float64(0.648), 0.2]"
"[0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.8, 0.2, 0.2, 0.2, 0.8, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, 0.8, 0.2, 0.8, np.float64(0.692), 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, 0.8, 0.2, 0.8, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.8, np.float64(0.648), 0.2]"
"[0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, np.float64(0.648), 0.2]"
"[0.8, 0.2, 0.2, 0.2, 0.8, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, np.float64(0.648), 0.2]"
"[0.8, 0.2, 0.2, 0.2, np.float64(0.683), 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, 0.2, 0.2, np.float64(0.683), 0.8, 0.8, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[0.2, 0.2, np.float64(0.722), 0.2, 0.8, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[0.8, 0.2, 0.2, 0.2, np.float64(0.683), 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2]"
"[0.8, 0.2, 0.8, 0.2, np.float64(0.683), 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, np.float64(0.496), 0.8, 0.2]"
"[0.2, 0.2, np.float64(0.722), 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.8, 0.2, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2]"
"[0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[0.8, 0.2, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[np.float64(0.476), 0.2, 0.2, 0.2, 0.8, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.8, 0.8, 0.2]"
"[0.2, 0.2, 0.8, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, np.float64(0.416), 0.2, np.float64(0.683), 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, 0.2, 0.2, 0.2, np.float64(0.427), 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2]"
"[0.2, 0.2, 0.8, 0.2, np.float64(0.683), 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[0.8, 0.2, np.float64(0.416), 0.2, np.float64(0.683), 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[np.float64(0.61), 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, np.float64(0.648), 0.2]"
"[0.8, 0.2, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[0.2, 0.2, 0.2, 0.2, np.float64(0.683), np.float64(0.509), 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, np.float64(0.648), 0.2]"
"[0.8, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[np.float64(0.6), 0.2, 0.2, 0.2, 0.2, np.float64(0.458), 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, np.float64(0.648), 0.2]"
"[0.2, 0.2, 0.8, 0.2, np.float64(0.683), 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[np.float64(0.227), 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.8, 0.2, 0.8, 0.2, np.float64(0.683), 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, np.float64(0.648), 0.2]"
"[0.8, 0.2, np.float64(0.722), 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, np.float64(0.416), 0.2, np.float64(0.683), 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[0.8, 0.2, 0.2, 0.2, np.float64(0.683), 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, np.float64(0.648), 0.2]"
"[0.2, 0.2, 0.2, 0.2, np.float64(0.683), 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.8, 0.2, 0.2, 0.2, 0.8, 0.8, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, 0.8, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[0.2, 0.2, np.float64(0.416), 0.2, 0.8, np.float64(0.498), 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, 0.8, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.8, 0.2, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, 0.8, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]"
"[0.8, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2]"
"[0.2, 0.2, 0.2, 0.2, 0.8, 0.8, 0.8, 0.2, 0.2, 0.2, 0.2, 0.8, 0.8, 0.2]"
"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
"[0.2, 0.2, 0.2, 0.2, 0.8, np.float64(0.723), 0.8, 0.2, 0.2, 0.2, 0.2, np.float64(0.496), np.float64(0.648), 0.2]"
